"filename", "language", "Python", "pip requirements", "Shell Script", "Markdown", "Ini", "comment", "blank", "total"
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/department/update_status_department_factory_role_uc.py", "Python", 8, 0, 0, 0, 0, 0, 4, 12
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/department/update_status_department_factory_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/department/update_status_department_uc.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/diet/create_diet_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/diet/list_diet_uc.py", "Python", 17, 0, 0, 0, 0, 0, 4, 21
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/diet/update_diet_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/diet/update_status_diet_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/factory/create_factory_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/factory/list_factory_uc.py", "Python", 13, 0, 0, 0, 0, 0, 4, 17
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/factory/update_factory_uc.py", "Python", 5, 0, 0, 0, 0, 0, 4, 9
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/factory/update_status_factory_uc.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/grinding/create_grinding_uc.py", "Python", 9, 0, 0, 0, 0, 0, 4, 13
"/Users/minhtranquang/Documents/entobel_proj/SFM_BackEnd/app/application/interfaces/use_cases/growing/create_growing_report_uc.py", "Python", 11, 0, 0, 0, 0, 0, 4, 15
